Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A913963,"5145 NORTH FARM
TO MARKET SIX HUNDRED TWENTY AUSTIN 78732",Yes (come to the shelter),09/23/2024,Dog,Doberman Pinsch,Black/Brown,Intact Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A913963
A913228,"20306 ED ACKLIN ROAD78653
(30.27875, -97.49611)",No (contact for more info),09/25/2024,Dog,Siberian Husky,White/Black,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913228
A843208,"MLK JR BLVD AUSTIN 78723
(30.31711, -97.69981)",Yes (come to the shelter),09/25/2024,Dog,Pit Bull,Brown Brindle/White,Intact Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A843208
A843210,"MLK JR BLVD AUSTIN 78723
(30.31711, -97.69981)",Yes (come to the shelter),09/25/2024,Dog,Pit Bull,Blue/White,Intact Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A843210
A913868,"6712 N LAMAR BLVD
AUSTIN 78757
(30.335363997, -97.72114396)",Yes (come to the shelter),09/22/2024,Dog,Chihuahua Shorthair Mix,Tricolor/White,Intact Female,10 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913868
A913769,"10710 RESEARCH BLVD
AUSTIN 78759
(30.398547999, -97.748186997)",Yes (come to the shelter),09/21/2024,Cat,Domestic Shorthair,Cream Tabby/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A913769
A913997,"2904 EAST SECOND STREET
AUSTIN 78702
(30.2534, -97.71096)",Yes (come to the shelter),09/24/2024,Cat,Domestic Shorthair,Brown Tabby,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913997
A913964,"LAMPLIGHT VILLAGE PARMER LN AUSTIN 78758
(30.37182, -97.70519)",Yes (come to the shelter),09/23/2024,Dog,Australian Shepherd/Collie Rough,Brown/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A913964
A913999,"2904 EAST SECOND STREET
AUSTIN 78702
(30.2534, -97.71096)",Yes (come to the shelter),09/24/2024,Cat,Domestic Shorthair,Black,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913999
A913962,"FAIRWAY ST AUSTIN 78741
(30.22764, -97.70176)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,White/Black,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913962
A914081,"MANOR RD
AUSTIN 78723",Yes (come to the shelter),09/25/2024,Dog,Curly Coat Retriever,Chocolate,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A914081
A913787,"UNKNOWN AUSTIN 78745
(30.2046507, -97.797035)",Yes (come to the shelter),09/21/2024,Dog,Labrador Retriever,White,Intact Male,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913787
A913902,"6204 RICHARDSON LN
AUSTIN 78741
(30.236640483, -97.696963621)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Torbie,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913902
A913903,"6204 RICHARDSON LN
AUSTIN 78741
(30.236640483, -97.696963621)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Brown Tabby,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913903
A913904,"6204 RICHARDSON LN
AUSTIN 78741
(30.236640483, -97.696963621)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Orange Tabby,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913904
A913905,"2606 WHELESS LN
AUSTIN 78723
(30.31094, -97.68015)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Brown Tabby,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A913905
A913907,"2606 WHELESS LN
AUSTIN 78723
(30.31094, -97.68015)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913907
A913913,"PEAVY DRIVE AUSTIN 78725
(30.21579, -97.63654)",Yes (come to the shelter),09/23/2024,Cat,Domestic Medium Hair,Black/Black,Intact Female,9 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A913913
A913742,"6407 DEL MONTE ROAD
AUSTIN 78741
(30.240293015, -97.690247008)",Yes (come to the shelter),09/20/2024,Cat,Domestic Shorthair Mix,Black,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A913742
A913750,"35 AND CASCADES AVENUE
AUSTIN 78747
(30.133824907, -97.798016489)",Yes (come to the shelter),09/20/2024,Cat,Domestic Shorthair,Black,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913750
A913801,"6934 EAST BEN
WHITE BOULIVARD AUSTIN 78741
(30.2295823, -97.721446)",Yes (come to the shelter),09/21/2024,Cat,Domestic Shorthair,Brown Tabby,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913801
A913802,"6934 EAST BEN
WHITE BOULIVARD AUSTIN 78741
(30.2295823, -97.721446)",Yes (come to the shelter),09/21/2024,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913802
A913972,14249 FM78641,Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair Mix,White,Intact Male,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913972
A913805,"5701 JOHNNY
MORRIS AUSTIN 78724
(30.290944982, -97.651645996)",Yes (come to the shelter),09/21/2024,Dog,Doberman Pinsch,Black/Tan,Intact Female,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913805
A913809,"15316 NORTH INTERSTATE HIGHWAY
AUSTIN 78728
(30.452296581, -97.666362649)",Yes (come to the shelter),09/21/2024,Cat,Domestic Shorthair,Black,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913809
A913808,"1701 EAST PARMER LANE
AUSTIN 78754
(30.385983987, -97.648363978)",Yes (come to the shelter),09/21/2024,Dog,Dachshund/Pug,Black/White,Intact Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A913808
A913873,"9437 CIRCLE DR78736
(30.24104198, -97.923502968)",Yes (come to the shelter),09/23/2024,Dog,Toy Poodle,Black,Intact Male,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913873
